sample,burn,rack,drought,number_of_species,emf_species
264,h,c2,full_water,1,1
137,n,c1,full_water,3,3
604,lo,b1,primed,6,6
223,ln,b3,primed,4,4
187,lo,b2,primed,6,6
128,n,b1,primed,4,4
228,ln,b1,primed,2,1
172,lo,c5,full_water,3,3
173,lo,c2,full_water,6,6
129,n,b1,primed,3,2
164,lo,b3,primed,3,3
163,lo,b5,primed,5,4
158,lo,a4,ABA,3,3
193,lo,a2,ABA,4,3
216,ln,c4,full_water,3,3
243,h,b5,primed,2,0
212,ln,c4,full_water,5,3
138,n,c4,full_water,3,2
26,lo,c1,full_water,2,2
141,n,c1,full_water,4,4
213,ln,c3,full_water,3,2
180,lo,b4,primed,4,4
262,h,b5,primed,3,3
263,h,c1,full_water,3,1
148,n,b2,primed,3,2
545,n,c5,full_water,5,3
161,lo,b1,primed,4,2
131,n,b2,primed,2,1
269,h,c1,full_water,2,0
224,ln,b1,primed,3,3
273,h,c1,full_water,2,0
248,h,b1,primed,1,0
244,h,b1,primed,2,1
170,lo,c2,full_water,4,4
184,lo,b4,primed,3,3
270,h,c2,full_water,4,3
469,ln,c4,full_water,2,2
165,lo,c4,full_water,3,3
145,n,b2,primed,2,1
147,n,b2,primed,3,2
178,lo,c2,full_water,3,3
234,ln,a5,ABA,3,2
246,h,b4,primed,3,0
97,h,b4,primed,1,1
229,lo,b4,primed,6,6
208,ln,c1,full_water,1,1
168,lo,b1,primed,3,3
219,ln,c5,full_water,4,4
267,h,c5,full_water,1,1
