plant_id,burn,rack,sterilization,drought,fresh_biomass,dry_biomass,biomass_change
073,n,A2,sterilized,ABA,0.87227,0.47003,0.40224
189,lo,A2,unsterilized,ABA,0.8988,0.32512,0.57368
092,n,A3,sterilized,ABA,0.44283,0.26237,0.18046
002,lo,A3,sterilized,ABA,0.23244,0.15638,0.07606
126,n,A5,unsterilized,ABA,0.83366,0.4289,0.40476
253,h,A5,unsterilized,ABA,0.27439,0.17716,0.09723
093,n,A4,sterilized,ABA,0.22119,0.14786,0.07333
095,h,A3,sterilized,ABA,0.29443,0.16322,0.13121
115,h,A3,sterilized,ABA,0.23216,0.17523,0.05693
152,n,A3,unsterilized,ABA,0.57842,0.37893,0.19949
250,h,A2,unsterilized,ABA,0.19789,0.14141,0.05648
595,lo,A2,unsterilized,ABA,0.76675,0.51505,0.2517
008,lo,A3,sterilized,ABA,0.48584,0.32444,0.1614
233,ln,A1,unsterilized,ABA,0.51536,0.3395,0.17586
071,n,A2,sterilized,ABA,0.34974,0.22061,0.12913
235,ln,A3,unsterilized,ABA,0.38158,0.26218,0.1194
151,n,A4,unsterilized,ABA,0.55543,0.3491,0.20633
241,h,A4,unsterilized,ABA,0.57725,0.38984,0.18741
028,lo,A3,sterilized,ABA,0.38317,0.26141,0.12176
007,lo,A1,sterilized,ABA,0.34383,0.24087,0.10296
116,h,A1,sterilized,ABA,0.44759,0.26074,0.18685
159,lo,A5,unsterilized,ABA,0.69448,0.47529,0.21919
200,ln,A4,unsterilized,ABA,0.46238,0.25627,0.20611
038,ln,A2,sterilized,ABA,0.61999,0.42932,0.19067
194,lo,A4,unsterilized,ABA,0.66221,0.37953,0.28268
067,ln,A3,sterilized,ABA,0.19503,0.1346,0.06043
254,h,A3,unsterilized,ABA,0.41564,0.28595,0.12969
011,lo,A3,sterilized,ABA,0.49755,0.31926,0.17829
198,lo,A1,unsterilized,ABA,0.76973,0.5177,0.25203
204,ln,A3,unsterilized,ABA,0.65479,0.36124,0.29355
003,lo,A5,sterilized,ABA,0.34144,0.18695,0.15449
165,lo,C4,sterilized,full_water,0.57671,0.34023,0.23648
058,ln,C4,sterilized,full_water,0.48137,0.31515,0.16622
084A,n,C3,sterilized,full_water,0.47452,0.30697,0.16755
025,lo,C5,sterilized,full_water,0.32657,0.21332,0.11325
084B,n,C3,sterilized,full_water,0.19107,0.23768,-0.04661
059,ln,C3,sterilized,full_water,0.26059,0.16244,0.09815
138,n,C4,unsterilized,full_water,0.29048,0.15784,0.13264
212,ln,C4,unsterilized,full_water,0.88281,0.53359,0.34922
129,n,B1,unsterilized,primed,0.59503,0.37292,0.22211
100,h,B2,sterilized,primed,0.40186,0.27432,0.12754
178,lo,C2,unsterilized,full_water,0.47044,0.40307,0.06737
270,h,C2,unsterilized,full_water,0.30117,0.19554,0.10563
173,lo,C2,unsterilized,full_water,1.09859,0.67069,0.4279
103,h,C4,sterilized,full_water,0.36489,0.23823,0.12666
147,n,B2,unsterilized,primed,0.2995,0.26116,0.03834
267,h,C5,unsterilized,full_water,0.38568,0.22847,0.15721
145,n,B2,unsterilized,primed,0.73641,0.45153,0.28488
031,lo,C5,sterilized,full_water,0.42691,0.2809,0.14601
219,ln,C5,unsterilized,full_water,0.47813,0.24741,0.23072
208,ln,C1,unsterilized,full_water,0.53689,0.28215,0.25474
224,ln,B1,unsterilized,primed,0.42121,0.22594,0.19527
604,lo,B1,unsterilized,primed,0.61698,0.37792,0.23906
216,ln,C4,unsterilized,full_water,0.55976,0.37656,0.1832
263,h,C1,unsterilized,full_water,0.41487,0.28358,0.13129
262,h,B5,unsterilized,primed,0.2835,0.18765,0.09585
172,lo,C5,unsterilized,full_water,0.56845,0.35383,0.21462
128,n,B1,unsterilized,primed,0.57507,0.32489,0.25018
161,lo,B1,unsterilized,primed,0.58185,0.33659,0.24526
222,ln,B4,unsterilized,primed,0.55437,0.3285,0.22587
148,n,B2,unsterilized,primed,0.528,0.35671,0.17129
228,ln,B1,unsterilized,primed,0.40156,0.29777,0.10379
180,lo,B4,unsterilized,primed,0.92989,0.54362,0.38627
187,lo,B2,unsterilized,primed,0.73933,0.45152,0.28781
213,ln,C3,unsterilized,full_water,0.6334,0.41437,0.21903
545,n,C5,unsterilized,full_water,0.45692,0.25962,0.1973
137,n,C1,unsterilized,full_water,0.62208,0.3754,0.24668
269,h,C1,unsterilized,full_water,0.28117,0.15123,0.12994
264,h,C2,unsterilized,full_water,0.41351,0.27042,0.14309
243,h,B5,unsterilized,primed,0.49163,0.30976,0.18187
184,lo,B4,unsterilized,primed,0.47657,0.2531,0.22347
273,h,C1,unsterilized,full_water,0.74143,0.4347,0.30673
223,ln,B3,unsterilized,primed,0.47016,0.33495,0.13521
131,n,B2,unsterilized,primed,0.67568,0.33997,0.33571
168,lo,C4,unsterilized,full_water,0.56862,0.28683,0.28179
170,lo,C2,unsterilized,full_water,0.74623,0.44963,0.2966
246,h,B4,unsterilized,primed,0.30179,0.22586,0.07593
193,lo,A2,unsterilized,ABA,0.60335,0.22562,0.37773
234,ln,A5,unsterilized,ABA,0.60335,0.46192,0.14143
158,lo,A4,unsterilized,ABA,0.72272,0.44927,0.27345
164,lo,B3,unsterilized,primed,0.56358,0.34923,0.21435
163,lo,B5,unsterilized,primed,0.48234,0.2949,0.18744
082,n,C5,sterilized,full_water,0.5455,0.35347,0.19203
033,lo,C5,sterilized,full_water,0.24067,0.1452,0.09547
024,lo,B3,sterilized,primed,0.28584,0.20571,0.08013
117,h,A5,sterilized,ABA,0.43703,0.28518,0.15185
257,h,B4,sterilized,primed,0.40335,0.25301,0.15034
009,lo,A4,sterilized,ABA,0.15455,0.09439,0.06016
064,ln,A5,sterilized,ABA,0.48177,0.33149,0.15028
469,ln,C4,sterilized,full_water,0.36964,0.23352,0.13612
229,ln,B4,sterilized,primed,0.49781,0.30768,0.19013
097,h,B4,sterilized,primed,0.56746,0.32749,0.23997
026,lo,C1,sterilized,full_water,0.34137,0.19071,0.15066
141,n,C1,sterilized,full_water,0.74262,0.38453,0.35809
043,ln,B2,sterilized,primed,0.28528,0.19297,0.09231
062,ln,C2,sterilized,full_water,0.66455,0.45388,0.21067
087,n,C2,sterilized,full_water,0.29936,0.19859,0.10077
043,ln,B2,sterilized,primed,0.30865,0.2281,0.08055
088,n,C3,sterilized,full_water,0.43385,0.28933,0.14452
114,h,B1,sterilized,primed,0.28732,0.18374,0.10358
464,ln,C5,sterilized,full_water,0.36324,0.17784,0.1854
076,n,B2,sterilized,primed,0.34681,0.22195,0.12486
017,lo,B2,sterilized,primed,0.46749,0.29899,0.1685
474,ln,B5,sterilized,primed,0.53455,0.35906,0.17549
035,lo,C3,sterilized,full_water,0.26275,0.18597,0.07678
480,ln,B5,sterilized,primed,0.5013,0.32925,0.17205
466,ln,C3,sterilized,full_water,0.3532,0.22985,0.12335
098,h,B2,sterilized,primed,0.44516,0.32686,0.1183
018,lo,B4,sterilized,primed,0.34537,0.26189,0.08348
441,h,B1,sterilized,primed,0.36243,0.25799,0.10444
044,ln,B5,sterilized,primed,0.49461,0.34947,0.14514
022,lo,B3,sterilized,primed,0.5581,0.36456,0.19354
023,lo,B1,sterilized,primed,0.19593,0.13562,0.06031
420,h,A3,sterilized,ABA,0.12931,0.12173,0.00758
045,ln,B1,sterilized,primed,0.49929,0.31487,0.18442
415,n,A1,sterilized,ABA,0.72965,0.48783,0.24182
367,lo,B1,sterilized,primed,0.43587,0.26796,0.16791
412,n,B5,sterilized,primed,0.38722,0.24887,0.13835
416,n,A5,sterilized,ABA,0.45794,0.28271,0.17523
052A,ln,B2,sterilized,primed,0.18903,0.1212,0.06783
397B,n,B2,sterilized,primed,0.41259,0.26741,0.14518
052B,ln,B2,sterilized,primed,0.43489,0.25362,0.18127
375,lo,C1,sterilized,full_water,0.36446,0.2146,0.14986
445,h,A5,sterilized,ABA,0.12873,0.08605,0.04268
447,h,A4,sterilized,ABA,0.24471,0.16566,0.07905
461,ln,B3,sterilized,primed,0.50872,0.28632,0.2224
452,ln,A4,sterilized,ABA,0.29725,0.18057,0.11668
456,ln,A1,sterilized,ABA,0.4742,0.29225,0.18195
419,h,A1,sterilized,ABA,0.37065,0.23954,0.13111
387,lo,A2,sterilized,ABA,0.41608,0.26487,0.15121
397A,n,B2,sterilized,primed,0.4209,0.25856,0.16234
361,lo,B3,sterilized,primed,0.24976,0.18172,0.06804
433,h,C3,sterilized,full_water,0.54553,0.31784,0.22769
417,n,A4,sterilized,ABA,0.88975,0.47061,0.41914
463,ln,C5,sterilized,full_water,0.50462,0.27833,0.22629
432,h,C3,sterilized,full_water,0.34049,0.19015,0.15034
376,lo,C4,sterilized,full_water,0.57501,0.31459,0.26042
380,lo,C3,sterilized,full_water,0.2384,0.13987,0.09853
410,n,C5,sterilized,full_water,0.63298,0.35439,0.27859
407,n,C4,sterilized,full_water,0.611,0.33767,0.27333
584,lo,B3,unsterilized,primed,0.58187,0.30397,0.2779
240,h,A3,unsterilized,ABA,0.1982,0.12171,0.07649
580,lo,C5,unsterilized,full_water,1.36336,0.62982,0.73354
544,n,C5,unsterilized,full_water,0.43636,0.21176,0.2246
615,h,B2,unsterilized,primed,0.86999,0.38511,0.48488
556,n,A3,unsterilized,ABA,0.95187,0.42078,0.53109
557,n,A5,unsterilized,ABA,0.59112,0.30408,0.28704
511,ln,B5,unsterilized,primed,0.50076,0.28019,0.22057
637,h,C2,unsterilized,full_water,0.7101,0.32809,0.38201
501,ln,C1,unsterilized,full_water,0.83727,0.39542,0.44185
554,n,A1,unsterilized,ABA,0.87757,0.42209,0.45548
542,n,C3,unsterilized,full_water,0.70421,0.39486,0.30935
252,h,A5,sterilized,ABA,0.34699,0.18756,0.15943
645,h,A2,unsterilized,ABA,0.57331,0.30237,0.27094
521,ln,A2,unsterilized,ABA,0.95192,0.62787,0.32405
581,lo,C5,unsterilized,full_water,0.61884,0.34221,0.27663
196,lo,A5,unsterilized,ABA,0.61671,0.36219,0.25452
492,ln,C4,unsterilized,full_water,0.55583,0.30045,0.25538
534,n,C5,unsterilized,full_water,0.69765,0.37683,0.32082
