plant_id,rack,burn,drought,sterilization,tips_colonized,tips_uncolonized,total_tips,perc_col
267,c5,h,c,u,94,110,204,0.4608
270,c2,h,c,u,33,167,200,0.165
147,b2,n,b,u,102,98,200,0.51
219,c5,ln,c,u,87,113,200,0.435
145,b2,n,b,u,142,58,200,0.71
178,c2,lo,c,u,110,94,204,0.5392
165,c4,lo,c,u,85,124,209,0.4067
084,c5,n,c,u,24,188,211,0.1137
173,c2,lo,c,u,94,129,223,0.4215
216,c4,ln,c,u,124,109,233,0.5322
243,b5,h,b,u,10,190,200,0.05
604,b1,lo,b,u,121,85,206,0.5874
128,b1,n,b,u,58,156,204,0.2843
246,b4,h,b,u,93,107,200,0.465
234,a5,ln,c,u,115,85,200,0.575
158,a4,lo,c,u,120,116,236,0.5085
163,b5,lo,b,u,99,118,217,0.4562
164,b3,lo,b,u,70,130,200,0.35
138,c4,n,c,u,11,121,132,0.0833
129,b1,n,b,u,124,84,208,0.5962
212,c4,ln,c,u,130,70,200,0.65
187,b2,lo,b,u,103,109,212,0.4858
223,b3,ln,b,u,122,92,214,0.5701
264,c2,h,c,u,75,134,209,0.3589
172,c5,lo,c,u,130,80,210,0.619
137,c1,n,c,u,86,129,215,0.4
228,b1,ln,b,u,105,99,204,0.5147
180,b4,lo,b,u,118,108,226,0.5221
213,c3,ln,c,u,91,121,212,0.4292
262,b5,h,b,u,112,101,213,0.5258
263,c1,h,c,u,119,86,205,0.5805
148,b2,n,b,u,125,80,205,0.6098
545,c5,n,c,u,129,80,209,0.6172
222,b4,ln,b,u,123,90,213,0.5775
161,b1,lo,b,u,127,87,214,0.5935
131,b2,n,b,u,111,92,203,0.5468
269,c1,h,c,u,20,180,200,0.1
208,c1,ln,c,u,123,100,223,0.5516
168,b1,lo,b,u,112,101,213,0.5258
224,b1,ln,b,u,90,117,207,0.4348
273,c1,h,c,u,91,112,203,0.4483
248,b1,h,b,u,82,125,207,0.3961
244,b1,h,b,u,109,114,223,0.4888
170,c2,lo,c,u,132,94,226,0.5841
184,b4,lo,b,u,135,69,204,0.6618
026,c1,lo,c,s,76,124,200,0.38
469,c4,ln,c,s,90,115,205,0.439
141,c1,n,c,s,111,97,208,0.5337
097,b4,h,b,s,140,69,209,0.6699
229,b4,lo,b,s,131,94,225,0.5822
