fungal_taxon,kingdom,phylum,class,order,family,genus ,species
Pustularia_sp,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Pustularia,
Rhizopogon_rogersii,Fungi,Basidiomycota,Agaricomycetes,Boletales,Rhizopogonaceae,Rhizopogon,rogersii
Rhizopogon_vinicolor,Fungi,Basidiomycota,Agaricomycetes,Boletales,Rhizopogonaceae,Rhizopogon,vinicolor
Rhizopogon_villosulus,Fungi,Basidiomycota,Agaricomycetes,Boletales,Rhizopogonaceae,Rhizopogon,villosulus
Rhizopogon_villescens,Fungi,Basidiomycota,Agaricomycetes,Boletales,Rhizopogonaceae,Rhizopogon,villescens
Rhizopogon_hawkerae,Fungi,Basidiomycota,Agaricomycetes,Boletales,Rhizopogonaceae,Rhizopogon,hawkerae
Rhizopogon_quericola,Fungi,Basidiomycota,Agaricomycetes,Boletales,Rhizopogonaceae,Rhizopogon,quericola
Rhizopogon_sp,Fungi,Basidiomycota,Agaricomycetes,Boletales,Rhizopogonaceae,Rhizopogon,
Rhizopogon_clavitisporus,Fungi,Basidiomycota,Agaricomycetes,Boletales,Rhizopogonaceae,Rhizopogon,clavitisporus
Rhizopogon_defectus,Fungi,Basidiomycota,Agaricomycetes,Boletales,Rhizopogonaceae,Rhizopogon,defectus
Rhizopogon_vesiculosus,Fungi,Basidiomycota,Agaricomycetes,Boletales,Rhizopogonaceae,Rhizopogon,vesiculosus
Rhizopogon_zelleri,Fungi,Basidiomycota,Agaricomycetes,Boletales,Rhizopogonaceae,Rhizopogon,zelleri
Tuber_sp,Fungi,Ascomycota,Pezizomycetes,Pezizales,Tuberaceae,Tuber,
Hyaloscypha_finlandica,Fungi,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,Hyaloscypha,finlandica
Hyaloscypha_sp,Fungi,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,Hyaloscypha,
Wilcoxina_sp,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Wilcoxina,
Cadophora_finlandica,Fungi,Ascomycota,Leotiomycetes,Helotiales,Ploettnerulaceae,Cadophora,finlandica
Exophiala_equina,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Exophiala,equina
Meliniomyces_sp,Fungi,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,Meliniomyces,
Phialocephela_fortinii,Fungi,Ascomycota,Leotiomycetes,Helotiales,Mollisiaceae,Phialocephala,fortinii
Phialocephela_sp,Fungi,Ascomycota,Leotiomycetes,Helotiales,Mollisiaceae,Phialocephala,
Phialocephala_helvetica,Fungi,Ascomycota,Leotiomycetes,Helotiales,Mollisiaceae,Phialocephala,helvetica
Phialomyces_arenicola,Fungi,Ascomycota,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Phialomyces,arenicola
Entoloma_sp,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Entoloma,
Mallocybe_leucoblema,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Mallocybe,leucoblema
Cadophora_sp,Fungi,Ascomycota,Leotiomycetes,Helotiales,Ploettnerulaceae,Cadophora,
Myxomphalia_maura,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Myxomphalia,maura
Paraphoma_fimeti,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Paraphoma,fimeti
Eurotiales_sp,Fungi,Ascomycota,Eurotiomycetes,Eurotiomycetidae,Eurotiales,,
Ilyonectria_sp,Fungi,Ascomycota,Sodariomycetes,Hypocreales,Nectriaceae,Ilyonectria,
Ilyonectria_destructans,Fungi,Ascomycota,Sodariomycetes,Hypocreales,Nectriaceae,Ilyonectria,destructans
Humaria_sp,Fungi,Bscomycota,Pezizomycetes,Pezizales,Pyronemataceae,Humaria,
Russula _sp,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russalaceae,Russula,
Hyaloscypha_cf_hepaticicola,Fungi,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,Hyaloscypha,hepaticicola
Geopora_cooperi,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Geopora,cooperi
Leohumicola_minima,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiales_family_incertae_sedis,Leohumicola,minima
Boletus_sp,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,
Atheliaceae,Fungi,Basidiomycota,Agaricomycetes,Atheliales,Atheliaceae,,
Helotiaceae,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,,
Nectriaceae,Fungi,Ascomycota,Sodariomycetes,Hypocreales,Nectriaceae,,
Sebacina_sp,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,Sebacinaceae,Sebacina,
Pyronema_sp,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Pyronema,
Leohumicola_sp,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiales_family_incertae_sedis,Leohumicola,
Helotiales_sp,Fungi,Ascomycota,Leotiomycetes,Helotiales,,,
